path,label
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_0.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_1.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_2.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_3.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_4.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_5.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_6.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_7.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_8.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse001_x264_emb_9.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_0.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_1.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_2.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_3.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_4.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_5.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_6.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_7.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_8.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse002_x264_emb_9.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_0.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_1.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_2.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_3.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_4.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_5.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_6.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_7.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_8.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse003_x264_emb_9.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_0.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_1.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_2.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_3.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_4.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_5.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_6.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_7.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_8.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse004_x264_emb_9.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_0.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_1.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_2.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_3.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_4.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_5.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_6.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_7.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_8.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse005_x264_emb_9.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_0.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_1.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_2.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_3.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_4.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_5.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_6.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_7.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_8.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse006_x264_emb_9.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse007_x264_emb_0.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse007_x264_emb_1.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse007_x264_emb_2.npy,Abuse
/root/autodl-tmp/TrCLIP-VAD/data/caption/UCF_Caption_Features/Abuse007_x264_emb_3.npy,Abuse
